phone number,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls
382-4657,244.7,91,11.01,10,3,2.7,1
371-7191,254.4,103,11.45,13.7,3,3.7,1
358-1921,162.6,104,7.32,12.2,5,3.29,0
375-9999,196.9,89,8.86,6.6,7,1.78,2
330-6626,186.9,121,8.41,10.1,3,2.73,3
391-8027,203.9,118,9.18,6.3,6,1.7,0
355-9993,212.6,118,9.57,7.5,7,2.03,3
329-9001,211.8,96,9.53,7.1,6,1.92,0
335-4719,215.8,90,9.71,8.7,4,2.35,1
330-8173,326.4,97,14.69,11.2,5,3.02,0
344-9403,196,94,8.82,9.1,5,2.46,0
363-1107,141.1,128,6.35,11.2,2,3.02,1
394-8006,192.3,115,8.65,12.3,5,3.32,3
366-9238,203,99,9.14,13.1,6,3.54,4
350-8884,89.3,75,4.02,13.8,4,3.73,1
386-2923,129.6,121,5.83,8.1,3,2.19,3
356-2992,165.7,108,7.46,10,5,2.7,1
373-2782,192.8,74,8.68,13,2,3.51,1
396-5800,208.8,133,9.4,10.6,4,2.86,0
358-1958,181.8,78,8.18,9.5,19,2.57,0
350-2565,189.6,105,8.53,7.7,6,2.08,2
343-4696,237,115,10.67,10.3,2,2.78,0
331-3698,250.7,115,11.28,15.5,5,4.19,3
357-3817,182.7,115,8.22,9.5,3,2.57,0
418-6412,102.1,68,4.59,14.7,4,3.97,3
353-2630,181.5,102,8.17,6.3,6,1.7,0
410-7789,178.7,90,8.04,11.1,1,3,1
416-8428,250.5,148,11.27,14.2,6,3.83,2
370-3359,246.2,98,11.08,10.3,5,2.78,1
383-1121,293.3,78,13.2,12.6,10,3.4,3
395-2854,213.5,116,9.61,8.3,4,2.24,0
362-1407,152.8,71,6.88,14.7,6,3.97,3
341-9764,129.3,109,5.82,14.5,6,3.92,0
353-3305,227.8,108,10.25,10,5,2.7,1
402-1381,101.7,107,4.58,10.5,6,2.84,3
332-9891,188.3,108,8.47,11.1,9,3,1
372-9976,187.8,135,8.45,9.4,2,2.54,3
353-7289,311.5,78,14.02,10,4,2.7,2
390-7274,178.5,92,8.03,9.2,4,2.48,3
352-1237,265.3,86,11.94,3.5,3,0.95,1
353-3061,163.1,116,7.34,8.5,5,2.3,2
363-5450,134.7,118,6.06,13.2,5,3.56,3
364-1995,242.2,127,10.9,7.4,5,2,2
405-7146,70.6,79,3.18,11,3,2.97,1
413-4957,236.8,87,10.66,7.8,5,2.11,3
420-5645,249,129,11.21,6.8,3,1.84,1
349-4396,282.8,57,12.73,11.4,6,3.08,2
404-3211,228.5,68,10.28,9.3,5,2.51,2
363-5947,270.2,98,12.16,10.2,3,2.75,1
340-5121,140.8,128,6.34,8,2,2.16,1
403-9733,129.8,103,5.84,12.1,3,3.27,3
355-7251,189.3,95,8.52,12,8,3.24,1
359-5893,166.6,54,7.5,11.4,4,3.08,1
405-3371,166.3,106,7.48,11.6,3,3.13,2
344-5117,138,92,6.21,14.6,3,3.94,2
332-8160,265.5,53,11.95,12.6,3,3.4,3
359-4081,159,106,7.15,8.2,6,2.21,2
352-8305,214.1,102,9.63,6.2,5,1.67,2
329-9847,157.8,67,7.1,9.3,4,2.51,0
365-9011,129.3,139,5.82,8.3,8,2.24,0
338-9472,153.5,60,6.91,7.8,1,2.11,1
359-1231,295.3,104,13.29,11.8,7,3.19,3
413-7170,254.6,61,11.46,12.1,2,3.27,0
415-2935,172.5,109,7.76,8,4,2.16,3
399-4246,152.4,105,6.86,7.3,4,1.97,1
362-5889,188.2,99,8.47,12,3,3.24,0
350-8921,181.4,111,8.16,6.1,2,1.65,1
355-8887,177.5,113,7.99,8.2,3,2.21,2
333-1967,228.6,76,10.29,15,2,4.05,1
354-4577,224,119,10.08,13.2,2,3.56,1
331-7425,278.5,109,12.53,12.6,5,3.4,3
419-2637,175.7,90,7.91,11,2,2.97,3
411-1530,222.7,68,10.02,9.8,4,2.65,1
388-6441,323,78,14.54,8.6,7,2.32,0
412-9997,182.4,98,8.21,12,2,3.24,1
346-7302,202.1,57,9.09,10.9,9,2.94,2
400-9770,109.6,94,4.93,11.1,2,3,1
340-4953,253.2,62,11.39,7.9,9,2.13,1
